JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457590.68866,13.651,0.011,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.16,Z,17.025,17.552,,V2492 CYG,AAVSO,STD,10,,,
2457590.85786,16.390,0.050,,V,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-4.150|VERR=0.035|CREFMAG=14.388|CREFERR=0.037|KREFMAG=12.647|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VI=-0.0190|TV_VIERR=0.0250|TAVER=2.47,1,1.027,Z,-6.179,-7.927,,V2492 CYG,AAVSO,STD,103,,,
2457590.86104,13.663,0.067,,I,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-5.630|VERR=0.010|CREFMAG=13.106|CREFERR=0.043|KREFMAG=12.006|KREFERR=0.032|VX=0.0000|CX=0.0000|KX=0.0000|TVI=1.0010|TVIERR=0.0180|TAVER=2.47,1,1.030,Z,-6.216,-7.339,,V2492 CYG,AAVSO,STD,103,,,
2457590.86420,15.040,0.028,,R,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-5.518|VERR=0.012|CREFMAG=13.761|CREFERR=0.040|KREFMAG=12.338|KREFERR=0.028|VX=0.0000|CX=0.0000|KX=0.0000|TR_VI=-0.0590|TR_VIERR=0.0170|TAVER=2.47,1,1.032,Z,-6.882,-8.349,,V2492 CYG,AAVSO,STD,103,,,
2457591.70487,16.572,0.082,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.11,Z,16.933,17.798,,V2492 CYG,AAVSO,STD,11,,,
2457591.70948,13.647,0.012,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.10,Z,17.083,17.599,,V2492 CYG,AAVSO,STD,11,,,
2457591.86431,16.440,0.073,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,0,1.08,Z,16.992,17.904,,V2492 CYG,AAVSO,STD,,,,
2457594.85782,15.981,0.038,,V,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-4.496|VERR=0.015|CREFMAG=14.388|CREFERR=0.037|KREFMAG=12.647|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VI=-0.0190|TV_VIERR=0.0250|TAVER=2.48,1,1.036,Z,-6.116,-7.863,,V2492 CYG,AAVSO,STD,101,,,
2457594.86575,13.301,0.049,,I,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-5.966|VERR=0.008|CREFMAG=13.106|CREFERR=0.043|KREFMAG=12.006|KREFERR=0.032|VX=0.0000|CX=0.0000|KX=0.0000|TVI=1.0010|TVIERR=0.0180|TAVER=2.48,1,1.045,Z,-6.189,-7.307,,V2492 CYG,AAVSO,STD,101,,,
2457594.86891,14.662,0.025,,R,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-5.883|VERR=0.007|CREFMAG=13.761|CREFERR=0.040|KREFMAG=12.338|KREFERR=0.028|VX=0.0000|CX=0.0000|KX=0.0000|TR_VI=-0.0590|TR_VIERR=0.0170|TAVER=2.48,1,1.048,Z,-6.867,-8.327,,V2492 CYG,AAVSO,STD,101,,,
2457596.73738,15.637,0.011,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.03,Z,16.692,17.577,,V2492 CYG,AAVSO,STD,12,,,
2457596.74197,13.073,0.005,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.03,Z,16.954,17.471,,V2492 CYG,AAVSO,STD,12,,,
2457598.71120,15.755,0.036,,V,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-4.581|VERR=0.010|CREFMAG=14.388|CREFERR=0.037|KREFMAG=12.647|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VI=-0.0190|TV_VIERR=0.0250|TAVER=2.48,1,1.153,Z,-5.974,-7.719,,V2492 CYG,AAVSO,STD,101,,,
2457598.71439,13.104,0.045,,I,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-6.079|VERR=0.007|CREFMAG=13.106|CREFERR=0.043|KREFMAG=12.006|KREFERR=0.032|VX=0.0000|CX=0.0000|KX=0.0000|TVI=1.0010|TVIERR=0.0180|TAVER=2.48,1,1.142,Z,-6.104,-7.231,,V2492 CYG,AAVSO,STD,101,,,
2457598.71755,14.460,0.024,,R,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-5.970|VERR=0.005|CREFMAG=13.761|CREFERR=0.040|KREFMAG=12.338|KREFERR=0.028|VX=0.0000|CX=0.0000|KX=0.0000|TR_VI=-0.0590|TR_VIERR=0.0170|TAVER=2.48,1,1.135,Z,-6.750,-8.211,,V2492 CYG,AAVSO,STD,101,,,
2457601.73922,15.890,0.015,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.02,Z,16.810,17.696,,V2492 CYG,AAVSO,STD,13,,,
2457601.74384,13.176,0.006,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.02,Z,17.029,17.556,,V2492 CYG,AAVSO,STD,13,,,
2457602.76681,15.920,0.038,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.01,Z,16.681,17.574,,V2492 CYG,AAVSO,STD,14,,,
2457602.77142,13.207,0.005,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.01,Z,16.946,17.488,,V2492 CYG,AAVSO,STD,14,,,
